Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,702.7810,24.8815,24.6881,0.1934,24.3888,3.4807,2.7415,0.7392,31.0809,20.8271,-0.7398,702.7810,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,727.6625,23.0021,22.8050,0.1971,22.2328,3.5685,2.7159,0.8526,27.0265,25.0099,4.0544,727.6625,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,750.6646,23.6576,23.4690,0.1886,23.3283,3.2737,2.6845,0.5892,29.0343,24.9956,-2.0078,750.6646,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,774.3222,23.5746,23.3940,0.1806,23.1694,3.0736,2.7093,0.3643,30.3723,25.0133,-1.3380,774.3222,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,797.8968,23.7005,23.4716,0.2289,23.1894,3.5869,2.7132,0.8737,31.8110,20.8542,-1.4387,797.8968,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,821.5973,24.0490,23.8492,0.1998,23.5802,3.1662,2.6807,0.4855,28.9647,24.9904,2.8463,821.5973,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,845.6463,22.5649,22.4033,0.1616,22.1956,3.3644,2.8245,0.5399,29.9061,20.8362,-0.9414,845.6463,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,868.2112,23.8911,23.6527,0.2384,23.1208,3.4376,2.7315,0.7061,28.1774,24.9882,1.7287,868.2112,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,892.1023,23.3665,23.2344,0.1321,22.5510,3.4902,2.7681,0.7221,29.2745,20.8777,-1.0971,892.1023,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,915.4688,22.3430,22.1825,0.1605,21.9711,2.9600,2.6384,0.3216,26.7857,25.0129,2.4888,915.4688,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,937.8118,23.0797,22.9182,0.1615,22.6442,3.8082,3.3694,0.4388,29.4556,20.8051,-2.6699,937.8118,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,960.8915,23.2640,23.0959,0.1681,22.7934,3.0365,2.7555,0.2810,27.1810,24.9927,2.2746,960.8915,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,984.1555,23.6311,23.4209,0.2102,22.8319,3.0250,2.6857,0.3393,28.9097,25.0219,-1.7287,984.1555,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1007.7866,24.4882,24.3146,0.1736,24.0993,3.9903,3.3312,0.6591,30.3005,25.0007,-1.3908,1007.7866,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1032.2748,23.6735,22.9777,0.6958,22.8016,3.1042,2.7229,0.3813,30.8130,20.8370,-0.5125,1032.2748,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1055.9483,21.7465,21.5841,0.1624,21.2904,3.0295,2.7041,0.3254,27.9765,25.0036,2.8365,1055.9483,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1077.6948,24.0555,23.8754,0.1801,23.1232,3.8472,2.8388,1.0084,31.2336,25.0130,-3.2571,1077.6948,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1101.7503,23.3168,23.1202,0.1966,22.6187,3.3010,2.9879,0.3131,32.1911,20.8327,-0.9575,1101.7503,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1125.0671,23.6604,23.4587,0.2017,23.2299,3.0848,2.7193,0.3655,29.7070,25.0085,2.4841,1125.0671,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1148.7275,23.8913,23.6896,0.2017,23.3558,3.1957,2.7316,0.4641,31.0551,25.0161,-1.3481,1148.7275,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1172.6188,22.7095,22.5474,0.1621,22.1987,3.0748,2.8023,0.2725,32.1799,20.8208,-1.1248,1172.6188,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1195.3283,22.9546,22.8068,0.1478,22.5157,3.0792,2.8087,0.2705,30.2912,20.8276,1.8887,1195.3283,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1218.2829,22.4479,22.2214,0.2265,21.7298,3.1136,2.6793,0.4343,28.1642,25.0109,2.1270,1218.2829,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1240.7308,23.6029,23.4633,0.1396,22.9959,3.5407,2.7583,0.7824,30.7272,20.8230,-2.5630,1240.7308,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1264.3337,22.0173,21.8659,0.1514,21.6561,3.0230,2.7028,0.3202,27.9473,20.8419,2.7799,1264.3337,NA,NA,NA
